freestyle,スキーフリースタイル,1,6
alpen,スキーアルペン,2,1
ccs,スキークロスカントリー,3,2
jump,スキージャンプ,4,0
nordic,ノルディック複合,5,2
figure,フィギュアスケート,6,2
st,ショートトラック,7,1
sskate,スピードスケート,8,2
sb,スノーボード,9,1
ih,アイスホッケー,10,2
curling,カーリング,11,0
biaslon,バイアスロン,12,0
skelton,スケルトン,13,0
luge,リュージュ,14,0
bb,ボブスレー,15,0
none,特にない,16,0
